Operation,Machine,Coach Variant,Start Time,End Time,Input,Output,Coach Variant Manufactured
"Stage I Fab:Bat Box SubAssy, Pump Mt Brkt, Elec RBC channel & other cross member SubAssys",UF0110,LWACCN (AC-3 tier),2022-05-23 00:00:00,2022-05-23 02:40:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']","['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",0
Stage-I SW Skeleton Tack Welding,SW0110,LWACCN (AC-3 tier),2022-05-23 00:00:00,2022-05-23 03:05:00,"['SIDE WALL SHEET', 'SIDE WALL FRAME WORK LHS']",['LHB Side Wall LHS'],0
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,LWACCN (AC-3 tier),2022-05-23 00:00:00,2022-05-23 03:05:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
Stage-VI Backpiece Leftover welding,SW0160,LWACCN (AC-3 tier),2022-05-23 00:00:00,2022-05-23 03:15:00,['Welding Parts Side wall LHS'],['Welding Parts Side wall LHS'],0
Stage I Machine- B&C machine,RF0110,LWACCN (AC-3 tier),2022-05-23 00:00:00,2022-05-23 03:35:00,['Roof sheeting complete'],['Roof sheeting complete'],0
"Stage II Framing, fitment & welding with BO front Part  of Underframe middle parts",UF0210,LWACCN (AC-3 tier),2022-05-23 02:40:00,2022-05-23 06:00:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",['Underframe frame work'],0
Stage II Robotic Endwall Welding Station,EW0120,LWACCN (AC-3 tier),2022-05-23 03:05:00,2022-05-23 06:30:00,['Output LHB END Wall'],['Output LHB END Wall'],0
Stage III Manual Repair stand,EW0130,LWACCN (AC-3 tier),2022-05-23 06:30:00,2022-05-23 06:32:00,['Output LHB END Wall'],['End wall Complete'],0
Stage-II Robotic Spot Welding,SW0120,LWACCN (AC-3 tier),2022-05-23 03:05:00,2022-05-23 06:40:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage VI Corrugated Sheets Tack welded  to Underframe frame work,UF0500,LWACCN (AC-3 tier),2022-05-23 00:00:00,2022-05-23 06:50:00,['Trough Sheets'],['Trough Sheets'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,LWACCN (AC-3 tier),2022-05-23 00:00:00,2022-05-23 06:50:00,['Supporting Members'],['Supporting Members'],0
Stage X  Manual Welding of Backpieces at Bottom side of underframe,UF0810,LWACCN (AC-3 tier),2022-05-23 00:00:00,2022-05-23 07:05:00,['Underframe Welding Parts'],['Underframe Welding Parts'],0
Stage II Manual JIG 9.2,RF0120,LWACCN (AC-3 tier),2022-05-23 03:35:00,2022-05-23 07:10:00,"['input for final roof arch complete', 'Roof sheeting complete']",['C'],0
Stage-III SW skeletion Robotic Mig Welding,SW0130,LWACCN (AC-3 tier),2022-05-23 06:40:00,2022-05-23 10:15:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage III Roof Robotic Welding Station,RF0130,LWACCN (AC-3 tier),2022-05-23 07:10:00,2022-05-23 10:15:00,['C'],['C'],0
Stage-IV Roof Bearer Robotic Arc Spot welding,SW0140,LWACCN (AC-3 tier),2022-05-23 10:15:00,2022-05-23 10:16:00,"['CARLINE', 'LHB Side Wall LHS']",['E'],0
Stage III Robotic Welding upside of Underframe,UF0310,LWACCN (AC-3 tier),2022-05-23 06:00:00,2022-05-23 10:40:00,['Underframe frame work'],['Underframe frame work'],0
Stage IV Roof Acceptance Stand and left over Welding station(13.0),RF0140,LWACCN (AC-3 tier),2022-05-23 10:15:00,2022-05-23 13:45:00,"['C', 'D']",['E'],0
Stage IV  Robotic Welding downside of Underframe,UF0320,LWACCN (AC-3 tier),2022-05-23 10:40:00,2022-05-23 14:45:00,['Underframe frame work'],['Underframe frame work'],0
Stage-V SW & Roof Bearer Robotic welding,SW0150,LWACCN (AC-3 tier),2022-05-23 10:16:00,2022-05-23 16:01:00,"['E', 'Welding Parts Side wall LHS']",['Side wall Left complete'],0
Stage V Roof Acceptance Stand and left over Welding station(11.0),RF0150,LWACCN (AC-3 tier),2022-05-23 13:45:00,2022-05-23 16:05:00,['E'],['Roof Complete'],0
Stage V Repair & leftover work by manual welding Top Side,UF0400,LWACCN (AC-3 tier),2022-05-23 14:45:00,2022-05-23 19:45:00,['Underframe frame work'],['Underframe frame work'],0
Stage VII Robotic Corrugated sheet stitch welding done,UF0610,LWACCN (AC-3 tier),2022-05-23 19:45:00,2022-05-24 02:45:00,"['Trough Sheets', 'Underframe frame work']",['Underframe frame work with corrugated sheet'],0
Stage VIII Robotic Corrugated sheet seam welding done,UF0620,LWACCN (AC-3 tier),2022-05-24 02:45:00,2022-05-24 07:25:00,['Underframe frame work with corrugated sheet'],['Underframe frame work with corrugated sheet'],0
Stage IX Attending of leftover work and rectification of weld defects,UF0700,LWACCN (AC-3 tier),2022-05-24 07:25:00,2022-05-24 14:15:00,['Underframe frame work with corrugated sheet'],['Underframe frame work with corrugated sheet'],0
Stage XII  Final Inspection and attending of leftover work,UF0900,LWACCN (AC-3 tier),2022-05-24 14:15:00,2022-05-24 16:20:00,"['Underframe frame work with corrugated sheet', 'Underframe Welding Parts', 'Supporting Members']",['Underframe Complete'],0
Stage-I Robotic Shell AssemblyLine at 22.2.1 (JIG I & II ),SH0110,LWACCN (AC-3 tier),2022-05-24 16:20:00,2022-05-25 00:00:00,"['Side wall Left complete', 'End wall Complete', 'Roof Complete', 'Underframe Complete']",['Shell Assembly'],0
Stage-II Final Repair & Leakage testing,SH0120,LWACCN (AC-3 tier),2022-05-25 00:00:00,2022-05-25 02:25:00,['Shell Assembly'],['Coach'],1
